x,time
2.000000,4947109392163.000000
2.000000,4947753503205.000000
2.000000,4948298022736.000000
2.000000,4948694675131.000000
2.000000,4949140348048.000000
2.000000,4949438338933.000000
2.000000,4949887616120.000000
2.000000,4951171933307.000000
2.000000,4951618639141.000000
2.000000,4952262800755.000000
2.000000,4952513507474.000000
2.000000,4954438800754.000000
2.000000,4954687951119.000000
2.000000,4955479418202.000000
2.000000,4955728099816.000000
2.000000,4955976728722.000000
2.000000,4956274469503.000000
2.000000,4956871216534.000000
2.000000,4957959921430.000000
2.000000,4959490997940.000000
2.000000,4961515858720.000000
2.000000,4962208481064.000000
2.000000,4963147663095.000000
2.000000,4963988665490.000000
2.000000,4964287746427.000000
2.000000,4964832473406.000000
2.000000,4965130996219.000000
2.000000,4965383137729.000000
2.000000,4965832761479.000000
2.000000,4966131478302.000000
2.000000,4966381004500.000000
2.000000,4966925526114.000000
2.000000,4967223782156.000000
2.000000,4967473519916.000000
2.000000,4967723724707.000000
2.000000,4967972810384.000000
2.000000,4968271037572.000000
2.000000,4968519750332.000000
2.000000,4968768235488.000000
2.000000,4969068558405.000000
2.000000,4969369965019.000000
2.000000,4969618511998.000000
2.000000,4969866905332.000000
2.000000,4970116406009.000000
2.000000,4970414841165.000000
2.000000,4970663269133.000000
2.000000,4971109973456.000000
2.000000,4971408865331.000000
2.000000,4971709977727.000000
2.000000,4972208903039.000000
2.000000,4974783101684.000000
2.000000,4975723119652.000000
2.000000,4976713886631.000000
2.000000,4977406428610.000000
2.000000,4978200622151.000000
2.000000,4979146613870.000000
2.000000,4979691683609.000000
2.000000,4980532905536.000000
2.000000,4981175915067.000000
2.000000,4981429171108.000000
2.000000,4982418806264.000000
2.000000,4983605520639.000000
2.000000,4985334066940.000000
2.000000,4985582987149.000000
2.000000,4986423198450.000000
2.000000,4986721673763.000000
2.000000,4987414735064.000000
2.000000,4987667108658.000000
2.000000,4987917130533.000000
2.000000,4989201979751.000000
2.000000,4989947015324.000000
2.000000,4990344770897.000000
2.000000,4991925239386.000000
2.000000,4993012418969.000000
2.000000,4995923938811.000000
2.000000,4996173006415.000000
2.000000,4996964795478.000000
2.000000,4997214464227.000000
2.000000,4998057162769.000000
2.000000,4998453604227.000000
2.000000,4998949064539.000000
2.000000,4999543930529.000000
2.000000,4999990869018.000000
2.000000,5000586165737.000000
2.000000,5002709782663.000000
2.000000,5005473943547.000000
2.000000,5006216336620.000000
2.000000,5008192645421.000000
2.000000,5008983706775.000000
2.000000,5009429801775.000000
2.000000,5009777017296.000000
2.000000,5010470012087.000000
2.000000,5013382793127.000000
2.000000,5013682325107.000000
2.000000,5014673905315.000000
2.000000,5015369622554.000000
2.000000,5017837888386.000000
2.000000,5019026637500.000000
2.000000,5019523096511.000000
2.000000,5019872342708.000000
2.000000,5020120917656.000000
2.000000,5020665316823.000000
2.000000,5021209811875.000000
2.000000,5021458405624.000000
